DATE,FEDFUNDS
1955-01-01,1.78
1956-01-01,2.72
1957-01-01,3.1
1958-01-01,1.57
1959-01-01,3.3
1960-01-01,3.2
1961-01-01,1.9
1962-01-01,2.7
1963-01-01,3.1
1964-01-01,3.4
1965-01-01,4
1966-01-01,5.1
1967-01-01,4.2
1968-01-01,5.6
1969-01-01,8.2
1970-01-01,7.1
1971-01-01,4.6
1972-01-01,4.4
1973-01-01,8.7
1974-01-01,10.5
1975-01-01,5.8
1976-01-01,5
1977-01-01,5.5
1978-01-01,7.9
1979-01-01,11.1
1980-01-01,13.3
1981-01-01,16.3
1982-01-01,12.2
1983-01-01,9
1984-01-01,10.2
1985-01-01,8.1
1986-01-01,6.8
1987-01-01,6.6
1988-01-01,7.5
1989-01-01,9.2
1990-01-01,8.0
1991-01-01,5.6
1992-01-01,3.5
1993-01-01,3
1994-01-01,4.2
1995-01-01,5.8
1996-01-01,5.2
1997-01-01,5.4
1998-01-01,5.3
1999-01-01,4.9
2000-01-01,6.2
2001-01-01,3.8
2002-01-01,1.6
2003-01-01,1.2
2004-01-01,1.3
2005-01-01,3.2
2006-01-01,4.9
2007-01-01,5
2008-01-01,1.9
2009-01-01,0.16
2010-01-01,0.17
2011-01-01,0.1
2012-01-01,0.14
2013-01-01,0.1
2014-01-01,0.08
2015-01-01,0.13
2016-01-01,0.39
2017-01-01,1
2018-01-01,1.8
2019-01-01,2.15
2020-01-01,0.37
2021-01-01,0.08
