Date,Communcication_Services,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_Care,Information_Technology,Materials,Real_Estate,Utilities
2009-01-02,114.93,177.33,177.33,403.12,171.36,316.22,241.74,142.94,76.03,151.29
2009-01-05,110.44,177.37,177.37,408.61,167.15,313.3,241.94,142.93,74.25,152.38
2009-01-06,109.96,180.56,180.56,410.65,170.39,308.76,249.27,145.61,78.55,151.16
2009-01-07,107.27,174.21,174.21,394.86,161.64,305.79,240.1,143.24,75.13,148.64
2009-01-08,108.33,174.78,174.78,399.44,161.31,307.48,242.18,144.43,74.48,149.2
2009-01-09,106.59,169.84,169.84,387.24,155.79,304.71,236.13,141.23,70.58,147.77
2009-01-12,104.09,165.58,165.58,375.35,146.9,300.88,232.79,136.18,66.03,147.99
2009-01-13,104.01,163.43,163.43,383.42,148.88,303.35,232.3,136.27,68.02,145.01
2009-01-14,101.23,157.32,157.32,366.96,140.4,298.75,224.12,130.93,64.5,143.12
2009-01-15,100.15,160.54,160.54,370.98,133.28,300.88,226.27,134.67,66.69,144.02
2009-01-16,100.54,162.8,162.8,375.24,130.1,303.96,228.61,136.51,69.35,146.98
2009-01-20,99.49,152.54,152.54,358.19,108.33,296.21,216.38,128.88,60.88,144.16
2009-01-21,102.89,157.67,157.67,379.13,124.16,302.83,228.15,133.41,67.7,146.13
2009-01-22,101.76,155.65,155.65,370.22,116.9,303.57,222.84,131.45,63.51,146.03
2009-01-23,103.69,154.79,154.79,378.38,120.91,303.85,226.46,133.6,65.28,146.44
2009-01-26,105.99,156.07,156.07,384.02,118.41,303.13,228.78,131.65,64.61,149.89
2009-01-27,102.85,155.96,155.96,384.82,122.84,309.06,231.44,132.49,65.41,150.41
2009-01-28,104.23,162.46,162.46,393.63,138.77,312.9,239.11,136.39,71.43,151.47
2009-01-29,100.31,155.96,155.96,378.85,127.12,309.09,231.36,132.49,65.49,150.29
2009-01-30,99.35,151.38,151.38,374.14,123.98,305.41,224.68,127.63,63.22,146.71
2009-02-02,101.36,150.69,150.69,370.61,124.21,308.3,228.01,125.68,63.86,147.46
2009-02-03,103.18,155.0,155.0,377.54,121.08,315.82,232.16,128.21,63.31,148.76
2009-02-04,100.24,151.09,151.09,378.75,119.88,312.88,233.18,130.16,62.43,149.92
2009-02-05,101.85,154.14,154.14,388.8,121.51,315.75,238.21,133.52,60.7,150.74
2009-02-06,104.7,158.84,158.84,394.58,131.39,318.65,246.36,137.22,65.24,152.21
2009-02-09,103.93,158.16,158.16,395.06,133.13,317.73,247.1,136.69,66.0,150.68
